metric,value,step
LR/Group-0,0.0009030000073835254,0.0
LR/Group-0,0.0016070000128820539,1.0
LR/Group-0,0.0020000000949949026,2.0
LR/Group-0,0.0019990000873804092,3.0
LR/Group-0,0.001998000079765916,4.0
LR/Group-0,0.0019970000721514225,5.0
LR/Group-0,0.001996000064536929,6.0
LR/Group-0,0.0019950000569224358,7.0
LR/Group-0,0.001993000041693449,8.0
LR/Group-0,0.0019910000264644623,9.0
LR/Group-0,0.0019890000112354755,10.0
LR/Group-0,0.001986999996006489,11.0
LR/Group-0,0.0019839999731630087,12.0
LR/Group-0,0.0019809999503195286,13.0
LR/Group-0,0.0019779999274760485,14.0
LR/Group-0,0.0019749999046325684,15.0
LR/Group-0,0.001972000114619732,16.0
LR/Group-0,0.0019680000841617584,17.0
LR/Group-0,0.001964000053703785,18.0
LR/Group-0,0.0019600000232458115,19.0
LR/Group-0,0.001955999992787838,20.0
LR/Group-0,0.0019509999547153711,21.0
LR/Group-0,0.0019470000406727195,22.0
LR/Group-0,0.0019420000026002526,23.0
LR/Group-0,0.0019369999645277858,24.0
LR/Group-0,0.0019310000352561474,25.0
LR/Group-0,0.0019259999971836805,26.0
LR/Group-0,0.0019199999514967203,27.0
LR/Group-0,0.001914000022225082,28.0
LR/Group-0,0.0019079999765381217,29.0
LR/Group-0,0.0019020000472664833,30.0
LR/Group-0,0.0018949999939650297,31.0
LR/Group-0,0.0018889999482780695,32.0
LR/Group-0,0.0018820000113919377,33.0
LR/Group-0,0.0018749999580904841,34.0
LR/Group-0,0.001867000013589859,35.0
LR/Group-0,0.0018599999602884054,36.0
LR/Group-0,0.0018520000157877803,37.0
LR/Group-0,0.0018439999548718333,38.0
LR/Group-0,0.0018360000103712082,39.0
LR/Group-0,0.0018279999494552612,40.0
LR/Group-0,0.001820000004954636,41.0
LR/Group-0,0.0018110000528395176,42.0
LR/Group-0,0.0018019999843090773,43.0
LR/Group-0,0.0017930000321939588,44.0
LR/Group-0,0.0017839999636635184,45.0
LR/Group-0,0.0017750000115484,46.0
LR/Group-0,0.0017659999430179596,47.0
LR/Group-0,0.0017559999832883477,48.0
LR/Group-0,0.0017460000235587358,49.0
LR/Group-0,0.0017359999474138021,50.0
LR/Group-0,0.0017259999876841903,51.0
LR/Group-0,0.0017160000279545784,52.0
LR/Group-0,0.0017059999518096447,53.0
LR/Group-0,0.0016949999844655395,54.0
LR/Group-0,0.0016850000247359276,55.0
LR/Group-0,0.0016740000573918223,56.0
LR/Group-0,0.0016629999736323953,57.0
LR/Group-0,0.00165200000628829,58.0
LR/Group-0,0.0016400000313296914,59.0
LR/Group-0,0.0016289999475702643,60.0
LR/Group-0,0.001617999980226159,61.0
LR/Group-0,0.0016060000052675605,62.0
LR/Group-0,0.0015940000303089619,63.0
LR/Group-0,0.0015820000553503633,64.0
LR/Group-0,0.0015699999639764428,65.0
LR/Group-0,0.0015579999890178442,66.0
LR/Group-0,0.0015460000140592456,67.0
LR/Group-0,0.001534000039100647,68.0
LR/Group-0,0.001521000056527555,69.0
LR/Group-0,0.0015089999651536345,70.0
LR/Group-0,0.0014959999825805426,71.0
LR/Group-0,0.0014830000000074506,72.0
LR/Group-0,0.0014700000174343586,73.0
LR/Group-0,0.0014570000348612666,74.0
LR/Group-0,0.0014440000522881746,75.0
LR/Group-0,0.0014309999532997608,76.0
LR/Group-0,0.0014179999707266688,77.0
LR/Group-0,0.0014049999881535769,78.0
LR/Group-0,0.0013920000055804849,79.0
LR/Group-0,0.0013780000153928995,80.0
LR/Group-0,0.0013650000328198075,81.0
LR/Group-0,0.0013510000426322222,82.0
LR/Group-0,0.0013370000524446368,83.0
LR/Group-0,0.001323999953456223,84.0
LR/Group-0,0.0013099999632686377,85.0
LR/Group-0,0.0012959999730810523,86.0
LR/Group-0,0.0012829999905079603,87.0
LR/Group-0,0.001269000000320375,88.0
LR/Group-0,0.0012550000101327896,89.0
LR/Group-0,0.0012410000199452043,90.0
LR/Group-0,0.001227000029757619,91.0
LR/Group-0,0.0012130000395700336,92.0
LR/Group-0,0.0011990000493824482,93.0
LR/Group-0,0.001184999942779541,94.0
LR/Group-0,0.0011709999525919557,95.0
LR/Group-0,0.0011569999624043703,96.0
LR/Group-0,0.0011419999646022916,97.0
LR/Group-0,0.0011279999744147062,98.0
LR/Group-0,0.0011139999842271209,99.0
LR/Group-0,0.0010999999940395355,100.0
LR/Group-0,0.0010860000038519502,101.0
LR/Group-0,0.0010720000136643648,102.0
LR/Group-0,0.0010580000234767795,103.0
LR/Group-0,0.0010430000256747007,104.0
LR/Group-0,0.0010290000354871154,105.0
LR/Group-0,0.00101500004529953,106.0
LR/Group-0,0.0010010000551119447,107.0
LR/Group-0,0.0009869999485090375,108.0
LR/Group-0,0.0009730000165291131,109.0
LR/Group-0,0.0009590000263415277,110.0
LR/Group-0,0.0009449999779462814,111.0
LR/Group-0,0.0009309999877586961,112.0
LR/Group-0,0.0009169999975711107,113.0
LR/Group-0,0.0009040000149980187,114.0
LR/Group-0,0.0008900000248104334,115.0
LR/Group-0,0.0008759999764151871,116.0
LR/Group-0,0.0008629999938420951,117.0
LR/Group-0,0.0008490000036545098,118.0
LR/Group-0,0.0008350000134669244,119.0
LR/Group-0,0.0008219999726861715,120.0
LR/Group-0,0.0008079999824985862,121.0
LR/Group-0,0.0007949999999254942,122.0
LR/Group-0,0.0007820000173524022,123.0
LR/Group-0,0.0007689999765716493,124.0
LR/Group-0,0.0007559999939985573,125.0
LR/Group-0,0.0007430000114254653,126.0
LR/Group-0,0.0007300000288523734,127.0
LR/Group-0,0.0007169999880716205,128.0
LR/Group-0,0.0007040000054985285,129.0
LR/Group-0,0.0006910000229254365,130.0
LR/Group-0,0.000678999989759177,131.0
LR/Group-0,0.000666000007186085,132.0
LR/Group-0,0.0006539999740198255,133.0
LR/Group-0,0.0006419999990612268,134.0
LR/Group-0,0.0006300000241026282,135.0
LR/Group-0,0.0006179999909363687,136.0
LR/Group-0,0.0006060000159777701,137.0
LR/Group-0,0.0005939999828115106,138.0
LR/Group-0,0.0005830000154674053,139.0
LR/Group-0,0.0005709999823011458,140.0
LR/Group-0,0.0005600000149570405,141.0
LR/Group-0,0.000547999981790781,142.0
LR/Group-0,0.0005370000144466758,143.0
LR/Group-0,0.0005259999888949096,144.0
LR/Group-0,0.0005159999709576368,145.0
LR/Group-0,0.0005050000036135316,146.0
LR/Group-0,0.0004939999780617654,147.0
LR/Group-0,0.0004839999892283231,148.0
LR/Group-0,0.00047400000039488077,149.0
LR/Group-0,0.00046400001156143844,150.0
LR/Group-0,0.00045399999362416565,151.0
LR/Group-0,0.0004440000047907233,152.0
LR/Group-0,0.00043399998685345054,153.0
LR/Group-0,0.0004250000056345016,154.0
LR/Group-0,0.00041599999531172216,155.0
LR/Group-0,0.0004070000140927732,156.0
LR/Group-0,0.0003980000037699938,157.0
LR/Group-0,0.00038899999344721437,158.0
LR/Group-0,0.0003800000122282654,159.0
LR/Group-0,0.00037200000951997936,160.0
LR/Group-0,0.0003640000068116933,161.0
LR/Group-0,0.00035600000410340726,162.0
LR/Group-0,0.0003480000013951212,163.0
LR/Group-0,0.00033999999868683517,164.0
LR/Group-0,0.0003330000035930425,165.0
LR/Group-0,0.00032500000088475645,166.0
LR/Group-0,0.00031800000579096377,167.0
LR/Group-0,0.0003110000106971711,168.0
LR/Group-0,0.00030499999411404133,169.0
LR/Group-0,0.00029799999902024865,170.0
LR/Group-0,0.00029200001154094934,171.0
